Wall time,Step,Value
1528201700.1790462,0,7.284049034118652
1528202592.9864187,1,7.233511447906494
1528203485.8129678,2,7.222589492797852
1528204373.9705741,3,7.215617656707764
1528205259.0158648,4,7.2121901512146
1528206147.809712,5,7.215038776397705
1528207041.415712,6,7.205167770385742
1528207930.2176373,7,7.203118324279785
1528208818.4148445,8,7.204814434051514
1528209707.4001477,9,7.20001220703125
1528210597.971779,10,7.196785926818848
1528211485.5871952,11,7.205791473388672
1528212368.0128992,12,7.2039384841918945
1528213253.1161776,13,7.20328426361084
1528214139.2113633,14,7.203763484954834
1528241357.279671,15,7.203210353851318
1528242212.7908745,16,7.198617458343506
1528243409.181751,17,7.198646545410156
1528244258.7616265,18,7.195766448974609
1528245108.8773446,19,7.200016021728516
1528245974.9998243,20,7.202217102050781
